content_hash,reviewer_verdict,reviewer_rationale,reviewed_at,model_id
71df63eb6f1f41189f45bdd5b7b5dc985ab4ba96b8a45aecd4aabea1a4b623da,no,"Centered title is 'TAX MATTERS AGREEMENT' between ConAgra Foods and Lamb Weston Holdings; a spin-off tax sharing agreement, not a Tax Receivable Agreement.",2026-05-25T06:32:25Z,claude-opus-4-7
4ba16829b66f50bb39fc60235f67feb9aeec6efb0db0d10d4b4d84858ab0f57d,no,"Centered title is 'Amended & Restated Limited Liability Company Agreement / Summary of Terms and Conditions' for Fifth Third Processing Solutions, LLC; LLC term sheet, not a TRA.",2026-05-25T06:32:25Z,claude-opus-4-7
1a1f95bdae717d9a47de06eb7aee1168787e76bfe1866c86f18aa13a862510de,no,"Centered title is 'AMENDED AND RESTATED LIMITED LIABILITY COMPANY AGREEMENT' for FTPS Holding, LLC; an LLC agreement, not a TRA.",2026-05-25T06:32:25Z,claude-opus-4-7
48322a57d8cd758369e9a813f343f66d9597340fbe2018324861101574e70a81,no,"Centered title is 'PURCHASE AGREEMENT' between NCR Voyix, Digital First Holdings II LLC, and Dragon Buyer; an M&A purchase agreement, not a TRA.",2026-05-25T06:32:25Z,claude-opus-4-7
42097777aaa409a99df8efcd4edab58dad30b8f90292fa75a0943bce97f1f1c9,no,"Centered title is 'TAX MATTERS AGREEMENT' between VF Corporation and Kontoor Brands (spin-off tax sharing agreement); not a TRA.",2026-05-25T06:32:25Z,claude-opus-4-7
5637e3cc7299a68fb37e3698f8fd6aadaf84663d8301925e60f4d3c5715b0b79,no,"Centered title is 'TAX MATTERS AGREEMENT' between L Brands and Victoria's Secret (spin-off tax-sharing agreement); not a TRA.",2026-05-25T06:32:25Z,claude-opus-4-7
b6f45d86d6995845ecbc38891187e400f8d2efd2eebdb9a08f2e6f9e637af6ff,no,"Centered title is 'AMENDED AND RESTATED LIMITED LIABILITY COMPANY AGREEMENT' for FNMS Holding, LLC; LLC agreement, not a TRA.",2026-05-25T06:32:25Z,claude-opus-4-7
bfd328a0984ec993a862f362cbc60d3c4400b42019e0996dbf23fe8bc650c8fc,no,"Centered title is 'NATIONAL CINEMEDIA, LLC THIRD AMENDED AND RESTATED LIMITED LIABILITY COMPANY OPERATING AGREEMENT'; an LLC operating agreement, not a TRA.",2026-05-25T06:32:25Z,claude-opus-4-7
2223638d810c1a5fa470ed5e5ac9e4e97c06be9076027f72c5e9d6fd8f9891de,no,"Centered title is 'TAX MATTERS AGREEMENT' (McKesson/SpinCo/Change Healthcare spin-off tax allocation agreement); not a TRA.",2026-05-25T06:32:25Z,claude-opus-4-7
2cd61a21d62f36e7649f2f945af46633f3d748c9568c3e5f00d30c57c3eb4360,no,"Centered title is 'AMENDED AND RESTATED LETTER AGREEMENT RELATING TO AGREEMENT OF CONTRIBUTION AND SALE'; references the MCK Tax Receivable Agreement but is itself a letter agreement on tax amortization and indemnification.",2026-05-25T06:32:25Z,claude-opus-4-7
39001b4a3781301837df158c2dd23121cb0315fd12f71d3521a8074e59a0c403,no,"Centered title is 'FIRST AMENDED AND RESTATED LIMITED LIABILITY COMPANY AGREEMENT OF AIS INVESTMENT HOLDINGS LLC'; an LLC agreement, not a TRA.",2026-05-25T06:32:25Z,claude-opus-4-7
cd08bb280e53dead804d65ff16bf34e3888a47b70871bec82df0632f30ab1c7d,no,"Pricing Agreement exhibit for a Senior Notes offering; no centered 'TAX RECEIVABLE AGREEMENT' title and no TRA terminology in the document.",2026-05-25T06:32:25Z,claude-opus-4-7
01216fc02f8e5590f3f728102f218d5e49d4815cbe197a5e8a41539270142597,yes,"Centered title 'TAX RECEIVABLE AGREEMENT' between SciPlay Corporation and SciPlay Parent Company LLC and its members; standard TRA articles.",2026-05-25T06:32:25Z,claude-opus-4-7
822ae8f06916d741707a2061fc7a87ae88aed31d16b16ebc97707281e58b52a2,yes,"Centered title 'TAX RECEIVABLE AGREEMENT' dated August 2, 2021 between MDC Stagwell Holdings, Midas OpCo Holdings LLC, and Stagwell Media LP; standard TRA structure.",2026-05-25T06:32:25Z,claude-opus-4-7
114d28d15315f95f75d234bc7d036177e3c21607b982f7362fee03192cd59fcd,yes,"Centered title 'TAX RECEIVABLE AGREEMENT' followed by parties block (Forward Air Corporation, Clue Opco LLC, the Members); standard TRA TOC.",2026-05-25T06:32:25Z,claude-opus-4-7
47b2b0d0c8133ea9e44d7421779e8d8c78a5304dfd60b20f9f8457342b39edca,yes,"Filename and EX-10.15 description identify exhibit as a Tax Receivable Agreement; body contains standard TRA defined terms within a centered title block.",2026-05-25T06:32:25Z,claude-opus-4-7
ec03cb310e2b1e569a06da41eba343201a0dbcadfbf48f016ce47985b1acdb2c,yes,"Centered title block reads 'SILVERCREST ASSET MANAGEMENT GROUP INC.' followed by centered 'TAX RECEIVABLE AGREEMENT'; standard articles and defined terms.",2026-05-25T06:32:25Z,claude-opus-4-7
f90a8e25789fd24bca003ab58f448b5ed2f3e36780406b187643611a73e614da,yes,"Centered title 'TAX RECEIVABLE AGREEMENT' appears twice (cover page and execution page) followed by parties block, recitals with Section 754 election, and Article I Definitions.",2026-05-25T06:32:25Z,claude-opus-4-7
7af63869b8e5852456f621d33a72c5dc7bd5838a9fc1bd4e6126e0a2cf1ee695,yes,"Centered title block reads 'FORM OF TAX RECEIVABLE AGREEMENT by and among ARIS WATER SOLUTIONS, INC. and THE TRA HOLDERS'; standard TRA recitals and Article I definitions.",2026-05-25T06:32:25Z,claude-opus-4-7
22605aa50a2fc33ab3d2d5aa99d6866dbf56f55c956bf7c6e84af997f9d94cb7,no,"Centered title is 'Omnibus Agreement Between James Levin and OZ Management LP, OZ Advisors LP and OZ Advisors II LP' — a partner-agreement amendment, not a Tax Receivable Agreement.",2026-05-25T06:50:00Z,claude-opus-4-7
698fbea5093bd505e2b4b556cbad1765863a2d589302d6e30b4231f61aadb8c4,no,"Centered title is 'Distribution Holiday Agreement' (a letter agreement re RSU distribution mechanics); the document only references a separate TRA Amendment in the Exhibit A Consent narrative.",2026-05-25T06:50:00Z,claude-opus-4-7
f16bd1692c513127f90a24ababa5b7114534234e7d8f5d4fa7961ee27bc54970,no,"Centered title is 'CONSENT AND WAIVER AGREEMENT' among International Paper and Graphic Packaging entities, not a Tax Receivable Agreement.",2026-05-25T06:50:00Z,claude-opus-4-7
0b603515d01e279ecd0be064320afd310e548ced13c4a5fe7fd2ba89e02505d3,no,"Centered title is 'ACQUISITION AGREEMENT' between Cloud Peak Energy and Rio Tinto Energy America; the TRA is named only as one of the Transaction Documents to be entered into concurrently.",2026-05-25T06:50:00Z,claude-opus-4-7
333d4ac8e41639f74e0d5bfff377e93f0c13832a4ef5b4cb0452b8d1b3b74451,no,"Centered title is 'SHARE REDEMPTION AND EXCHANGE AGREEMENT'; the TRA is referenced only as a carve-out from Released Claims, not the contract's subject.",2026-05-25T06:50:00Z,claude-opus-4-7
45dd23a1218305d4a0479b4e9696ea6dea261c5058196cb21eb751f04a49df93,no,"Centered title is 'FORM OF VOTING AND SUPPORT AGREEMENT' tied to a Merger Agreement, with no TRA defined-terms body.",2026-05-25T06:50:00Z,claude-opus-4-7
1eb29f094fbdb142080c59a18774d9a09b631a5aa24f753ead6d75dbff4a9e7e,no,"Centered title is 'FIRST AMENDMENT TO AMENDED AND RESTATED CREDIT AGREEMENT'; the document is a credit agreement amendment that merely references a 'tax receivables agreement' as part of the IPOCo Transactions definition.",2026-05-25T06:50:00Z,claude-opus-4-7
bdbae633b5cb496dd0c635c9af7564319eef306a88b5f39b773c7375ff1cde84,no,"Centered title is 'SECOND AMENDED AND RESTATED STOCKHOLDERS AGREEMENT' between Amneal Group and Atlas Holdings, not a Tax Receivable Agreement.",2026-05-25T06:50:00Z,claude-opus-4-7
8d8dfd9cd27453589a7b9ab19c1762f99c159b9fc32fdb6a2ca619dda949f63e,no,"Centered title is 'TENDER AND SUPPORT AGREEMENT' tied to a Pluralsight merger, not a Tax Receivable Agreement.",2026-05-25T06:50:00Z,claude-opus-4-7
9c6642701a92a1f8691922380207071d5c704e642797f51f0bc7d4da30b3b4ab,no,"Centered title is 'AMENDED AND RESTATED LETTER AGREEMENT RELATING TO AGREEMENT OF CONTRIBUTION AND SALE'; body governs amortization position and indemnification, and merely references the separate 'MCK Tax Receivable Agreement' as a parallel agreement.",2026-05-25T06:50:00Z,claude-opus-4-7
f7d2f28d6504037c70da57a51adcd5a30a4dbfd33a261b2b94a626efeb596142,no,"Centered title is 'TAX MATTERS AGREEMENT' between McKesson, PF2 SpinCo, and Change Healthcare — a spin-off tax sharing agreement, not a Tax Receivable Agreement.",2026-05-25T06:50:00Z,claude-opus-4-7
fb8eb89a4c7279411a1d10126a0a4d3d2ee432a05e3a6baad526d72efa2f5d06,no,"Centered title is 'ROLLOVER AGREEMENT' tied to a merger transaction; document governs rollover of equity interests, not TRA payments.",2026-05-25T06:50:00Z,claude-opus-4-7
